模仿游戏,莫滕·泰杜姆 Morten Tyldum,剧情/传记/战争/同性,英国/美国,2014,8.8,639672人评价,https://movie.douban.com/subject/10463953/
阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,剧情/喜剧,韩国,2011,8.8,586519人评价,https://movie.douban.com/subject/4917726/
茶馆,谢添 Tian Xie,剧情/历史,中国大陆,1982(中国大陆),9.6,141149人评价,https://movie.douban.com/subject/1461403/
我是山姆,杰茜·尼尔森 Jessie Nelson,剧情/家庭,美国,2001,9.0,334486人评价,https://movie.douban.com/subject/1306861/
九品芝麻官,王晶 Jing Wong,剧情/喜剧/古装,中国香港/中国大陆,1994,8.7,668805人评价,https://movie.douban.com/subject/1297518/
花样年华,王家卫 Kar Wai Wong,剧情/爱情,中国香港,2000,8.7,600014人评价,https://movie.douban.com/subject/1291557/
血战钢锯岭,梅尔·吉布森 Mel Gibson,剧情/传记/历史/战争,澳大利亚/美国,2016,8.7,776445人评价,https://movie.douban.com/subject/26325320/
恐怖直播,金秉祐 Byeong-woo Kim,剧情/犯罪/悬疑,韩国,2013,8.7,645380人评价,https://movie.douban.com/subject/21360417/
色，戒,李安 Ang Lee,剧情/爱情/情色,中国台湾/中国大陆/美国/中国香港,2007,8.7,795963人评价,https://movie.douban.com/subject/1828115/
七武士,黑泽明 Akira Kurosawa,动作/冒险/剧情,日本,1954,9.3,195682人评价,https://movie.douban.com/subject/1295399/
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,喜剧/动画/冒险,美国,2015,8.8,604003人评价,https://movie.douban.com/subject/10533913/
惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,悬疑/惊悚/恐怖,美国,1960,9.0,289109人评价,https://movie.douban.com/subject/1293181/
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,动作/科幻,美国,2003,8.8,442747人评价,https://movie.douban.com/subject/1302467/
你的名字。,新海诚 Makoto Shinkai,剧情/爱情/动画,日本,2016,8.5,1392814人评价,https://movie.douban.com/subject/26683290/
电锯惊魂,詹姆斯·温 James Wan,悬疑/惊悚/恐怖,美国,2004,8.8,526072人评价,https://movie.douban.com/subject/1417598/
三块广告牌,马丁·麦克唐纳 Martin McDonagh,剧情/犯罪,英国/美国,2017,8.7,812974人评价,https://movie.douban.com/subject/26611804/
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,剧情/传记/同性,美国,2013,8.8,448224人评价,https://movie.douban.com/subject/1793929/
